Date,LSC_P,LSC_Q,BUB_P,BUB_Q,UTC_P,UTC_Q
10/1/95,0,0.44,0.00,0.23,0,0.22
10/2/95,0,0.49,0.00,0.23,0,0.22
10/3/95,8.33,0.44,8.21,0.23,9.6,0.27
10/4/95,0.91,0.44,0.98,0.23,0.28,0.27
10/5/95,0,0.44,0.00,0.23,0,0.22
10/6/95,4.17,0.44,4.11,0.23,4.8,0.22
10/7/95,0,0.44,0.00,0.23,0,0.22
10/8/95,0,0.49,0.00,0.23,0,0.22
10/9/95,2.08,0.44,2.05,0.23,2.4,0.22
10/10/95,2.08,0.44,2.05,0.23,2.4,0.22
10/11/95,0.46,0.44,0.49,0.23,0.14,0.22
10/12/95,2.54,0.44,2.54,0.23,2.54,0.22
10/13/95,0,0.44,0.00,0.23,0,0.22
10/14/95,6.71,0.44,6.65,0.23,7.34,0.22
10/15/95,4.62,0.4,4.59,0.23,4.94,0.27
10/16/95,4.62,0.4,4.59,0.23,4.94,0.27
10/17/95,0,0.44,0.00,0.23,0,0.22
10/18/95,2.08,0.4,2.05,0.23,2.4,0.16
10/19/95,0.46,0.44,0.49,0.23,0.14,0.16
10/20/95,2.08,0.4,2.05,0.23,2.4,0.27
10/21/95,0,0.4,0.00,0.23,0,0.16
10/22/95,6.71,0.4,6.65,0.23,7.34,0.22
10/23/95,0,0.35,0.00,0.23,0,0.49
10/24/95,0,0.4,0.00,0.23,0,0.22
10/25/95,0.46,0.4,0.49,0.23,0.14,0.11
10/26/95,0,0.4,0.00,0.23,0,0.16
10/27/95,0,0.4,0.00,0.23,0,0.11
10/28/95,0,0.4,0.00,0.23,0,0.33
10/29/95,0,0.44,0.00,0.23,0,0.16
10/30/95,0,0.44,0.00,0.23,0,0.11
10/31/95,0,0.18,0.00,0.23,0,0.11
11/1/95,0,0.18,0.00,0.23,0,0.11
11/2/95,0,0.18,0.00,0.23,0,0.11
11/3/95,0,0.18,0.00,0.23,0,0.11
11/4/95,0,0.18,0.00,0.23,0,0.11
11/5/95,0,0.18,0.00,0.23,0,0.11
11/6/95,0,0.18,0.00,0.23,0,0.11
11/7/95,0.46,0.18,0.49,0.23,0.14,0.11
11/8/95,0,0.18,0.00,0.23,0,0.11
11/9/95,0,0.18,0.00,0.23,0,0.11
11/10/95,0,0.18,0.00,0.23,0,0.11
11/11/95,0,0.18,0.00,0.23,0,0.11
11/12/95,0,0.18,0.00,0.23,0,0.11
11/13/95,0,0.18,0.00,0.23,0,0.11
11/14/95,0,0.18,0.00,0.23,0,0.11
11/15/95,0,0.18,0.00,0.23,0,0.11
11/16/95,0,0.18,0.00,0.23,0,0.11
11/17/95,0,0.18,0.00,0.23,0,0.11
11/18/95,0,0.18,0.00,0.23,0,0.11
11/19/95,0,0.18,0.00,0.23,0,0.11
11/20/95,0,0.18,0.00,0.23,0,0.11
11/21/95,0,0.18,0.00,0.23,0,0.11
11/22/95,0,0.18,0.00,0.23,0,0.11
11/23/95,0,0.18,0.00,0.23,0,0.11
11/24/95,0,0.18,0.00,0.15,0,0.11
11/25/95,0,0.18,0.00,0.15,0,0.11
11/26/95,0.46,0.18,0.49,0.15,0.14,0.11
11/27/95,0,0.18,0.00,0.15,0,0.11
11/28/95,3.2,0.18,3.41,0.15,0.98,0.11
11/29/95,0,0.18,0.00,0.15,0,0.11
11/30/95,0,0.18,0.00,0.15,0,0.11
12/1/95,0,0.18,0.00,0.15,0,0.11
12/2/95,0,0.18,0.00,0.15,0,0.11
12/3/95,0,0.18,0.00,0.15,0,0.11
12/4/95,0,0.18,0.00,0.15,0,0.11
12/5/95,0,0.18,0.00,0.15,0,0.11
12/6/95,0,0.18,0.00,0.15,0,0.11
12/7/95,0,0.18,0.00,0.15,0,0.11
12/8/95,0,0.18,0.00,0.15,0,0.11
12/9/95,0,0.18,0.00,0.15,0,0.11
12/10/95,0,0.18,0.00,0.15,0,0.11
12/11/95,0,0.18,0.00,0.15,0,0.11
12/12/95,0,0.18,0.00,0.15,0,0.11
12/13/95,0,0.18,0.00,0.15,0,0.11
12/14/95,0,0.18,0.00,0.15,0,0.11
12/15/95,0,0.18,0.00,0.15,0,0.11
12/16/95,0,0.18,0.00,0.15,0,0.11
12/17/95,0,0.18,0.00,0.15,0,0.11
12/18/95,0,0.18,0.00,0.15,0,0.11
12/19/95,0,0.18,0.00,0.15,0,0.11
